#nombre,duracion,participantes,level,language,precio
Rust,60,10,A,Cas,15.00
Python,126,5,A,Fre,5.8
PHP,85,24,B,Cas,34.26
PHP,78,14,B,Ger,14.6
Rust,131,10,A,Cas,24.7
C,138,14,B,Cas,13.59
C,204,25,A,Ger,47.84
SQL,162,11,B,Cas,17.43
Rust,188,12,C,Fre,11.68
Python,218,3,D,Fre,44.96
C++,120,20,D,Eng,43.02
Python,204,3,D,Gal,16.59
C++,105,2,C,Eng,48.75
Rust,65,4,B,Eng,20.2
SQL,85,21,B,Eng,23.73
Python,24,3,D,Fre,23.54
C++,29,12,D,Eng,37.72
Rust,153,2,C,Gal,37.09
Rust,102,6,B,Fre,15.64
Python,39,19,A,Fre,10.19
C,66,23,A,Fre,30.87
C,229,2,B,Ger,34.49
Rust,192,5,A,Ger,47.93
SQL,87,9,C,Ger,36.93
Rust,27,7,C,Eng,31.29
C++,107,1,B,Eng,8.82
PHP,157,24,D,Fre,33.34
C,197,24,B,Eng,23.05
C,111,1,B,Gal,35.28
Rust,148,2,B,Cas,31.39
PHP,63,4,B,Cas,5.29
SQL,123,7,B,Gal,29.22
Python,238,6,A,Ger,5.92
C++,58,1,D,Fre,43.91
C,99,12,A,Cas,19.73
C++,118,24,A,Ger,40.29
Python,75,22,C,Fre,7.75
C,105,2,B,Fre,45.34
SQL,32,14,A,Cas,6.02
Rust,118,1,B,Cas,28.88
Rust,103,11,B,Cas,22.32
SQL,31,5,D,Eng,21.21
Rust,43,4,D,Fre,21.78
Rust,168,23,D,Ger,49.13
SQL,215,5,B,Eng,35.62
Rust,129,4,D,Eng,7.62
PHP,92,23,C,Eng,45.31
C++,16,10,A,Cas,25.88
SQL,73,18,D,Ger,38.43
C++,14,18,A,Eng,35.04
C,212,25,C,Ger,30.73
Rust,140,21,B,Fre,44.97
SQL,230,15,C,Eng,31.58
C,72,16,C,Cas,41.22
C,195,17,D,Cas,16.65
PHP,49,16,A,Gal,20.09
Python,200,6,C,Eng,8.47
Rust,27,21,B,Fre,24.56
SQL,66,24,B,Cas,19.84
C++,132,23,C,Ger,21.18
Rust,50,18,A,Fre,33.61
C,68,2,C,Gal,27.35
C++,216,25,D,Gal,25.5
Python,26,19,B,Gal,38.33
Rust,230,8,D,Gal,10.23
Rust,98,8,B,Ger,46.76
C++,24,10,D,Gal,6.17
Rust,89,25,A,Fre,16.08
C,132,17,C,Gal,41.53
C++,177,19,C,Ger,14.17
Python,135,24,D,Gal,20.59
Rust,198,6,D,Cas,20.73
C,99,21,D,Cas,12.19
Rust,142,10,C,Gal,48.43
Rust,196,3,C,Fre,23.01
Rust,48,10,C,Cas,36.89
Rust,87,16,B,Gal,41.25
SQL,179,4,D,Fre,12.91
C++,185,14,A,Cas,38.73
Rust,98,12,A,Gal,48.17
C,214,17,A,Cas,22.16
Rust,34,2,B,Gal,9.49
C,155,18,A,Ger,42.93
PHP,109,22,B,Fre,35.65
SQL,190,18,B,Cas,15.18
Rust,104,19,D,Ger,44.26
Python,179,20,C,Fre,20.59
C,64,13,D,Eng,30.28
SQL,45,21,A,Cas,30.7
Rust,33,1,D,Fre,18.43
Rust,187,24,C,Eng,44.1
C,148,18,D,Cas,38.79
Python,154,19,A,Eng,6.71
Python,229,16,D,Fre,33.75
Python,213,8,D,Cas,33.67
C++,116,22,D,Gal,38.95
C,43,6,C,Fre,49.23
Rust,97,2,A,Ger,20.98
C++,13,11,D,Ger,39.54
Rust,218,10,C,Eng,24.77
Rust,10,13,A,Cas,12.73
Python,114,2,D,Ger,47.55
C++,206,9,C,Ger,18.65
Rust,168,6,B,Fre,34.39
PHP,90,16,C,Cas,33.46
Rust,86,21,C,Fre,23.72
PHP,139,24,D,Eng,39.01
C++,135,5,C,Gal,6.85
SQL,57,23,D,Cas,8.13
Python,208,10,B,Ger,12.06
SQL,74,16,B,Ger,5.56
PHP,66,17,C,Ger,5.69
PHP,25,4,C,Ger,27.88
SQL,222,16,A,Ger,12.87
C,29,1,A,Gal,25.04
PHP,234,19,B,Fre,39.66
Python,17,7,D,Eng,10.09
C,102,10,D,Gal,25.8
C,183,4,B,Gal,5.48
C++,23,17,A,Cas,15.9
Rust,67,14,C,Fre,16.69
C,49,6,A,Gal,13.96
Rust,86,11,C,Gal,18.59
PHP,170,25,C,Cas,11.55
Rust,240,16,C,Eng,30.47
C,45,9,B,Cas,28.35
C++,21,20,B,Gal,31.58
SQL,228,17,C,Eng,15.0
SQL,37,21,A,Ger,10.38
Python,190,2,D,Cas,40.18
SQL,100,19,A,Ger,27.45
Rust,179,6,C,Cas,21.06
PHP,31,17,C,Gal,45.61
C++,13,3,A,Cas,27.02
C++,110,3,B,Eng,6.95
Rust,194,17,A,Eng,41.7
Rust,209,16,A,Cas,27.13
C++,159,25,C,Cas,14.87
PHP,220,20,B,Fre,15.55
PHP,55,7,B,Eng,37.3
PHP,11,8,C,Ger,26.93
SQL,27,20,A,Ger,28.78
C++,91,19,D,Ger,20.41
C++,58,12,C,Cas,16.13
PHP,123,22,D,Eng,19.9
C,172,12,D,Ger,21.89
Python,137,7,B,Fre,13.9
C,211,19,D,Eng,30.78
Rust,82,22,C,Gal,20.74
Python,43,18,D,Eng,26.34
SQL,14,14,A,Eng,34.09
C++,118,17,B,Gal,28.49
SQL,62,20,A,Cas,16.12
PHP,143,2,D,Ger,19.62
PHP,68,22,D,Eng,32.09
C++,202,24,D,Fre,7.81
Rust,198,8,D,Eng,23.74
Rust,73,8,D,Cas,48.12
PHP,155,10,A,Ger,48.75
SQL,56,8,B,Eng,20.52
SQL,28,16,C,Ger,47.04
PHP,214,6,C,Ger,36.91
C++,161,21,D,Fre,14.51
C++,123,5,A,Ger,45.63
Rust,142,11,D,Gal,28.55
Rust,152,20,D,Gal,35.83
Rust,34,8,A,Cas,30.65
Rust,225,7,C,Ger,16.16
Rust,148,13,A,Cas,25.41
SQL,21,20,C,Fre,7.59
Rust,118,11,D,Cas,33.15
SQL,209,23,D,Eng,7.91
Rust,226,14,A,Fre,21.16
C++,18,18,A,Ger,32.4
Rust,133,15,C,Ger,8.75
C++,49,4,A,Ger,31.89
Python,23,1,A,Eng,29.02
C,240,15,A,Cas,41.17
Rust,17,7,A,Ger,11.96
Python,113,3,C,Eng,47.82
SQL,139,3,B,Eng,20.52
Rust,161,15,A,Cas,5.9
PHP,177,10,C,Eng,12.87
SQL,190,22,D,Fre,47.61
Python,164,25,B,Fre,34.48
C,103,4,D,Ger,24.22
C++,169,2,C,Gal,46.89
Rust,140,11,A,Ger,31.41
Rust,204,11,B,Cas,49.54
SQL,73,20,D,Fre,9.12
Python,18,14,C,Eng,28.4
C,149,8,C,Cas,16.34
C,178,23,A,Eng,13.86
PHP,162,2,C,Fre,35.61
C,203,24,C,Cas,27.64
C++,91,15,A,Cas,31.92
C++,119,24,B,Cas,38.12
C,60,2,C,Ger,49.15
SQL,195,17,D,Gal,43.47
Rust,163,25,B,Ger,16.72
PHP,240,10,B,Eng,21.78
Rust,23,9,B,Fre,10.47
PHP,40,4,B,Eng,36.07
Python,33,13,A,Gal,9.36
PHP,208,9,B,Fre,14.5
Python,127,2,D,Gal,30.72
C,178,20,A,Fre,17.79
C++,41,1,D,Cas,40.34
Rust,58,14,B,Gal,15.44
C,213,7,A,Gal,36.37
Python,148,7,D,Gal,5.23
Rust,223,6,A,Cas,35.36
Rust,11,23,B,Ger,41.61
C,172,16,A,Cas,41.66
C++,64,23,B,Cas,19.55
PHP,196,12,A,Eng,40.67
C,112,23,D,Ger,18.04
Python,196,6,B,Eng,28.93
Python,183,8,A,Cas,27.04
Rust,63,16,B,Cas,39.47
Rust,24,22,A,Gal,23.21
C,148,17,B,Eng,7.22
SQL,173,17,C,Eng,12.78
Python,30,20,B,Eng,27.62
C,129,3,B,Cas,46.78
Python,174,20,C,Ger,8.7
Python,221,9,A,Cas,16.15
SQL,48,6,A,Ger,22.37
Rust,26,2,C,Ger,31.54
Rust,173,10,B,Cas,15.47
PHP,153,16,D,Cas,27.1
PHP,13,1,D,Ger,46.39
Python,198,11,C,Cas,32.42
Rust,154,13,D,Ger,39.98
SQL,87,1,A,Cas,30.5
SQL,62,21,C,Fre,20.48
PHP,223,7,B,Cas,27.21
Rust,159,24,D,Eng,21.76
Python,94,16,C,Gal,28.72
Python,100,22,B,Eng,40.0
Rust,97,10,A,Cas,5.76
PHP,53,9,C,Eng,40.53
C,182,8,A,Gal,48.56
Rust,155,24,B,Eng,18.53
Rust,114,23,D,Fre,41.11
C++,157,6,C,Ger,21.61
SQL,79,7,B,Fre,37.71
Rust,28,10,C,Fre,6.48
Rust,171,1,D,Ger,22.02
PHP,63,10,D,Cas,22.81
C++,227,7,D,Fre,9.02
SQL,199,17,D,Ger,32.1
Rust,239,10,C,Gal,45.5
C++,68,5,A,Cas,48.52
SQL,115,5,D,Ger,31.51
PHP,16,17,B,Ger,43.02
PHP,88,21,A,Fre,45.07
SQL,76,22,B,Gal,42.34
Rust,89,15,A,Gal,15.01
Rust,108,5,D,Ger,7.84
C++,42,16,A,Gal,32.72
Rust,129,10,C,Cas,21.9
C++,63,8,B,Cas,29.58
C++,23,23,C,Eng,24.03
SQL,234,8,C,Ger,39.42
PHP,91,23,C,Cas,6.31
C++,79,6,B,Gal,45.33
SQL,196,9,B,Cas,37.06
Python,141,19,A,Ger,22.18
C++,219,9,B,Ger,23.48
C,125,24,B,Eng,44.08
C++,104,17,B,Fre,20.62
SQL,189,2,B,Fre,6.14
Python,53,9,D,Fre,34.61
Rust,183,7,B,Cas,11.06
PHP,187,7,D,Ger,30.65
PHP,71,19,A,Cas,10.46
PHP,140,8,D,Fre,16.19
PHP,185,18,D,Ger,22.67
Python,107,20,B,Cas,46.87
SQL,133,10,A,Cas,36.43
Rust,108,13,D,Eng,41.36
Rust,178,15,C,Ger,17.39
SQL,93,10,C,Fre,13.67
Rust,240,17,D,Eng,37.66
PHP,190,3,D,Cas,25.59
SQL,19,20,A,Cas,43.5
Python,50,12,B,Eng,37.46
SQL,206,13,D,Fre,17.68
Rust,153,8,A,Fre,8.7
Rust,47,25,D,Eng,44.76
C,66,2,B,Fre,43.54
Python,199,12,A,Gal,9.73
Rust,127,22,A,Gal,47.31
Rust,180,10,C,Eng,10.48
PHP,143,14,A,Fre,40.7
C,28,4,D,Ger,13.04
Rust,145,7,C,Ger,27.37
SQL,66,1,C,Ger,36.56
C,38,11,C,Gal,46.94
Rust,158,23,D,Eng,17.57
Rust,120,18,C,Fre,31.37
Rust,202,16,C,Eng,49.19
C++,113,10,C,Gal,25.76
Python,153,6,D,Fre,40.34
Rust,159,11,C,Eng,26.46
C++,161,24,A,Cas,18.28
C,61,17,C,Gal,31.41
Python,75,11,B,Gal,43.6
Python,143,7,A,Fre,22.64
C++,155,12,B,Gal,27.74
SQL,45,13,C,Eng,16.62
PHP,50,14,C,Gal,44.02
Python,39,22,B,Ger,13.52
Rust,158,6,D,Fre,33.79
Rust,70,22,D,Ger,40.49
PHP,52,3,D,Cas,44.78
Rust,120,12,D,Eng,33.7
Rust,114,17,D,Gal,23.23
Python,132,11,C,Cas,24.41
Rust,117,11,A,Fre,7.99
